"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 19 09:04:42 IST 2020","Sun Jul 19 09:04:50 IST 2020","7637","Command line suite","Command line test","testCases.DoodlesTest","testCases.DoodlesTest","TC_ValidateDoodlesPage","To Verify that when the user click on I'm Feeling Lucky button, the page navigates to Doodles Page",""
"passed","Sun Jul 19 09:04:59 IST 2020","Sun Jul 19 09:05:07 IST 2020","8467","Command line suite","Command line test","testCases.GoogleSearchTest","testCases.GoogleSearchTest","TC_SearchInGoogle","To Verify that when the user search for a specific text, the page navigates to the Search Result Page",""
